,Acres Burned,Latitude,Longitude,Incident Start,County,Cause Type,Start Date
1461,26.0,40.09554,-122.43905,2020-04-23T20:52:04Z,Tehama,Wildfire,2020-04-23
1462,55.0,40.63442,-122.97693,2020-04-25T14:59:00Z,Trinity,Wildfire,2020-04-25
1463,47.0,37.82066,-121.595225,2020-04-27T14:59:04Z,Contra Costa,Wildfire,2020-04-27
1464,2060.0,36.075003,-120.106407,2020-05-03T15:52:04Z,Kings,Wildfire,2020-05-03
1465,156.0,34.47438,-120.29379,2020-05-07T08:10:19Z,Santa Barbara,Wildfire,2020-05-07
1466,17.0,39.42208,-121.47273,2020-05-08T14:46:20Z,Butte,Wildfire,2020-05-08
1467,20.0,33.861054,-117.024114,2020-05-18T13:38:14Z,Riverside,Wildfire,2020-05-18
1468,152.0,37.11715,-119.982359,2020-05-21T11:30:00Z,Madera,Wildfire,2020-05-21
1469,20.0,38.697834,-122.403634,2020-05-22T15:27:09Z,Napa,Wildfire,2020-05-22
1470,5000.0,35.34237,-120.70524,2020-05-27T19:33:55Z,San Luis Obispo,Wildfire,2020-05-27
1471,60.0,33.83167,-117.34934,2020-05-28T17:08:59Z,Riverside,Wildfire,2020-05-28
1472,1395.0,34.01389,-119.74577,2020-05-31T18:09:09Z,Santa Barbara,Wildfire,2020-05-31
1473,237.0,37.11806,-119.93221,2020-06-01T15:29:05Z,Madera,Wildfire,2020-06-01
1474,670.0,38.824371,-121.390862,2020-06-01T15:52:43Z,Placer,Wildfire,2020-06-01
1475,10.0,39.1296,-123.48018,2020-06-01T17:41:59Z,Mendocino,Wildfire,2020-06-01
1476,37.0,40.809323,-120.288882,2020-06-02T17:01:52Z,Lassen,Wildfire,2020-06-02
1477,129.0,33.782532,-116.524014,2020-06-02T19:38:16Z,Riverside,Wildfire,2020-06-02
1478,300.0,38.232281,-122.042199,2020-06-03T18:26:25Z,Solano,Wildfire,2020-06-03
